SMILES1,SMILES2,cocrystallization
c1(N)ccc(C(=O)C)cc1,c1ccc(NC(C)=O)cc1,0
c1(Cn2ccnc2-c2nccn2Cc2ccccc2)ccccc1,O=C(O)CCCCCCCC(=O)O,0
c1([N+]([O-])=O)c(C(N)=O)cccc1,C(C(O)=O)CSCCC(=O)O,0
c1cc2c(cc1)n(Cc1cccnc1)cn2,O=C(c1ccc(O)cc1)O,1
c1c2cc3c(cc2ccc1)cccc3,O=[N+]([O-])c1cc([N+]([O-])=O)ccc1,0
c1c(C(=O)O)c(O)cc(N)c1,n1ccc(C(NN)=O)cc1,1
OC(c1ccc(OC)cc1)=O,C1CC(=O)NC1,0
O=C1C(NC(=O)C(N)c2ccc(O)cc2)C2SC(C)(C)C(C(=O)O)N21,N(c1ccc(O)cc1)C(=O)C,0
Oc1cc(C(=O)O)ccc1,c1c(C(=NNC(c2ccncc2)=O)C)ccc(C)c1,1
c1([N+](=O)[O-])ccc([N+]([O-])=O)cc1,c1cc(C)ccc1N,0
Ic1ccccc1C(O)=O,O=C(O)c1c([N+]([O-])=O)cccc1,0
O=C(CCC(=O)O)O,c1c(NC(=O)C)ccc(O)c1,0
c1c(C#N)cccc1O,Oc1c2ccncc2ccc1,0
CC(c1cc(F)c(-c2ccccc2)cc1)C(O)=O,c12c(c(=O)n(C)c(=O)n1C)[nH]cn2,0
c1cccc(C(O)=O)c1O,O=[N+](C1([N+]([O-])=O)CNC1)[O-],1
n1c(N)ccc(Br)c1,OC(=O)CCC(=O)O,1
c1c([N+](=O)[O-])cccc1[N+](=O)[O-],c1c(N)ccc(C)c1,0
CC(Cc1ccc(C(C)C(=O)O)cc1)C,C(CCCCC(=O)O)CCCCCC,0
c1cc(OC)cc2c(CC(=O)O)c(C)n(C(c3ccc(Cl)cc3)=O)c12,c1cc2c(cc1)c(O)c(C(O)=O)cc2,0
c1c([N+](=O)[O-])cc(C(=O)O)cc1,c1(C(=O)N)cccnc1,0
c1c(OC)cncc1C#Cc1nc(N)nc(C)c1,c1c(C(=O)O)ccc([N+]([O-])=O)c1,1
c1c(C(O)=O)ccc(O)c1,[nH]1ncnc1N,1
c1c([N+]([O-])=O)cccc1[N+]([O-])=O,C(=O)c1cccc(O)c1,0
C(C(C(O)C(=O)O)O)(=O)O,NCCSSCCN,1
O=C(O)CCCCC1C2C(NC(=O)N2)CS1,c1(NC(C)=O)nnc(S(=O)(N)=O)s1,0
c1(O)c(C(=O)O)cccc1,C(CCCCCC(=O)O)C,0
c1cc2c(ccc(O)c2)cc1,NC(=O)c1cccnc1,0
N1C(=O)C(Br)(Br)C(=O)NC1=O,n1c(N)nc(N)nc1N,1
O=C(CSCC(=O)O)O,c1cnccc1C=Cc1ccncc1,1
c1nc(C)n(C)c1,c1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+]([O-])=O,1
c1cc(OC)cc(C(=O)O)c1,NC(N)=O,0
C(C(O)=O)CCCC(=O)O,c1ccc(C(O)C(N(C)C)C)cc1,1
O=C(O)CCl,c1ccc(C(O)=O)cc1,0
c1cnccc1C=Cc1ccncc1,CCCCOc1ccc(C(O)=O)cc1,1
O=[N+](c1ccccc1O)[O-],C(c1ccccc1)(=O)N,0
[O-][N+](c1c(O)cccc1)=O,c12[nH]c3ccccc3c1cccc2,0
O=C(CCCCCCCCC(O)=O)O,C(C(=O)O)C(C(O)=O)(C)C,0
C1CNCCN1,c1(F)c(F)c(F)c(I)c(F)c1I,1
OC1=C(O)C(=O)OC1C(O)CO,OC(c1ccccc1O)=O,0
OC(c1c(O)cccc1)=O,C1(C)NC(C)CCC1,1
c12c(cccc1)-c1ccccc1C2,c1ccc2cccc3c2c1CC3,0
c1c(CCc2ccncc2)ccnc1,c1c(O)ccc(O)c1,1
c1(C(O)=O)cccc(O)c1,c1c2c(cc3ccccc3n2)ccc1,1
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+]([O-])=O)c1,C(NC(=N)N)CCC(N)C(=O)O,1
C1c2c(cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2)NC(=O)C1,c1c(C(=O)O)c(O)ccc1,1
c1c(C(O)=O)cccc1,C1(=O)NC(=O)CC1,0
n1(C)c2ncn(C)c2c(=O)n(C)c1=O,c1c(N)cccc1C(=O)O,0
c1cc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2cc1OC,O=C(O)C(O)=O,0
c1c2ccccc2ccc1,C(CC(O)=O)CCC(=O)O,0
O=C(O)c1ccc(C)cc1,O=c1n(C)c(=O)c2n(C)cnc2n1C,0
c1cccc(Cc2ccccc2)c1,c1(O)c([N+]([O-])=O)cc([N+]([O-])=O)cc1[N+]([O-])=O,0
OC(C(N)CCC(O)=O)=O,Oc1ccc(C(=O)N)cc1,0
c1nccc(-c2c3c(cccc3-c3ccncc3)ccc2)c1,c1c(C(O)=O)ccc(C(O)=O)c1,1
c1ccc2c(scc2C=O)c1,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1
Oc1ccc(C=O)cc1OC,O=[N+]([O-])c1cc([N+]([O-])=O)ccc1,0
C1Cc2c(cccc2)C2N1C(=O)CN(C(=O)C1CCCCC1)C2,O=C(c1cccc(C(O)=O)c1)O,0
c1c([N+](=O)[O-])ccc(O)c1,c1cccc(CC(N)C(=O)O)c1,1
c1nccnc1,c1c(O)c(C(=O)O)c(O)cc1O,1
Oc1cc(O)cc(C)c1,NC(c1ccncc1)=O,1
Oc1cccc(C(=O)O)c1,c12c(cccc1)ccc1ccccc21,0
c1(N)nc2ccc(Br)cc2s1,O=[N+](c1cc(C(=O)O)cc([N+]([O-])=O)c1)[O-],1
c1(S(=O)(N)=O)ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C)cc2)cc1,C(CCC(=O)O)CC(=O)O,0
c1cc(O)c(C(=O)O)cc1,C(c1c2n(cn1)c(=O)n(C)nn2)(=O)N,1
c12ccccc1c1ccccc1cc2,c1cc(C(c2ccccc2)c2ccccc2)ccc1,0
c1(N=C(c2c(C(=O)O)cc(C(=O)O)c(C(O)=Nc3ccccc3C(C)(C)C)c2)O)ccccc1C(C)(C)C,Oc1c(O)cccc1,1
C(CC(=O)O)CC(=O)O,Nc1n[nH]c(N)n1,1
O=C(O)C1N2C(C(NC(=O)C(N)c3ccc(O)cc3)C2=O)SC1(C)C,c1c(O)ccc(NC(=O)C)c1,0
c1cc(NC(=S)OCC)ccc1,c1c(-c2ccncc2)ccnc1,1
Nc1ccccc1N,OC(=O)CC(=O)O,1
OC(=O)c1c(NCc2ccco2)cc(Cl)c(S(=O)(=O)N)c1,C(C(N)C(O)=O)CC(N)=O,0
OC(C(C(O)C(C(O)C(=O)O)O)O)=O,c1cnc(C(=O)N)cn1,0
c1(C(O)=O)c(O)cccc1,Clc1cc2c([nH]c(SC)n2)cc1Oc1c(Cl)c(Cl)ccc1,1
c1ccc(-n2n(C)c(C)c(C(C)C)c2=O)cc1,O=C(C(C(O)=O)CC)O,0
